gen,block,line,level,day,patch,no_dispersals,value
1,2,10,low,4,a,1,12
1,2,10,low,4,a,2,1
1,2,10,low,4,b,1,65
1,2,10,low,4,b,2,52
1,2,10,low,4,b,3,22
1,2,11,high,2,a,0,101
1,2,11,high,2,b,1,99
1,2,11,high,3,a,0,41
1,2,11,high,3,a,1,11
1,2,11,high,3,b,1,60
1,2,11,high,3,b,2,88
1,2,11,high,4,a,0,15
1,2,11,high,4,a,1,25
1,2,11,high,4,a,2,3
1,2,11,high,4,b,1,23
1,2,11,high,4,b,2,48
1,2,11,high,4,b,3,85
1,2,11,low,2,a,0,181
1,2,11,low,2,b,1,19
1,2,11,low,3,a,0,92
1,2,11,low,3,a,1,0
1,2,11,low,3,b,1,89
1,2,11,low,3,b,2,19
1,2,11,low,4,a,0,49
1,2,11,low,4,a,1,14
1,2,11,low,4,a,2,3
1,2,11,low,4,b,1,44
1,2,11,low,4,b,2,71
1,2,11,low,4,b,3,17
1,2,12,high,2,a,0,129
1,2,12,high,2,b,1,71
1,2,12,high,3,a,0,51
1,2,12,high,3,a,1,3
1,2,12,high,3,b,1,78
1,2,12,high,3,b,2,68
1,2,12,high,4,a,0,23
1,2,12,high,4,a,1,25
1,2,12,high,4,a,2,3
1,2,12,high,4,b,1,25
1,2,12,high,4,b,2,54
1,2,12,high,4,b,3,68
1,2,12,low,2,a,0,113
1,2,12,low,2,b,1,87
1,2,12,low,3,a,0,61
1,2,12,low,3,a,1,13
1,2,12,low,3,b,1,52
1,2,12,low,3,b,2,74
1,2,12,low,4,a,0,26
1,2,12,low,4,a,1,15
1,2,12,low,4,a,2,6
1,2,12,low,4,b,1,34
1,2,12,low,4,b,2,50
1,2,12,low,4,b,3,69
1,2,13,high,2,a,0,25
1,2,13,high,2,b,1,175
1,2,13,high,3,a,0,11
1,2,13,high,3,a,1,28
1,2,13,high,3,b,1,14
1,2,13,high,3,b,2,147
1,2,13,high,4,a,0,10
1,2,13,high,4,a,1,22
1,2,13,high,4,a,2,18
1,2,13,high,4,b,1,0
1,2,13,high,4,b,2,21
1,2,13,high,4,b,3,129
1,2,13,low,2,a,0,121
1,2,13,low,2,b,1,79
1,2,13,low,3,a,0,77
1,2,13,low,3,a,1,16
1,2,13,low,3,b,1,45
1,2,13,low,3,b,2,62
1,2,13,low,4,a,0,32
1,2,13,low,4,a,1,21
1,2,13,low,4,a,2,9
1,2,13,low,4,b,1,43
1,2,13,low,4,b,2,42
1,2,13,low,4,b,3,52
1,2,14,high,2,a,0,112
1,2,14,high,2,b,1,88
1,2,14,high,3,a,0,58
1,2,14,high,3,a,1,6
1,2,14,high,3,b,1,53
1,2,14,high,3,b,2,82
1,2,14,high,4,a,0,31
1,2,14,high,4,a,1,28
1,2,14,high,4,a,2,5
1,2,14,high,4,b,1,20
1,2,14,high,4,b,2,39
1,2,14,high,4,b,3,77
1,2,14,low,2,a,0,111
1,2,14,low,2,b,1,89
1,2,14,low,3,a,0,46
1,2,14,low,3,a,1,5
1,2,14,low,3,b,1,65
1,2,14,low,3,b,2,84
1,2,14,low,4,a,0,23
1,2,14,low,4,a,1,12
1,2,14,low,4,a,2,8
1,2,14,low,4,b,1,24
1,2,14,low,4,b,2,57
1,2,14,low,4,b,3,74
1,2,15,high,2,a,0,70
1,2,15,high,2,b,1,130
1,2,15,high,3,a,0,30
1,2,15,high,3,a,1,14
1,2,15,high,3,b,1,40
1,2,15,high,3,b,2,116
1,2,15,high,4,a,0,15
1,2,15,high,4,a,1,18
1,2,15,high,4,a,2,14
1,2,15,high,4,b,1,15
1,2,15,high,4,b,2,34
1,2,15,high,4,b,3,105
1,2,15,low,2,a,0,120
1,2,15,low,2,b,1,79
1,2,15,low,3,a,0,65
1,2,15,low,3,a,1,18
1,2,15,low,3,b,1,54
1,2,15,low,3,b,2,61
1,2,15,low,4,a,0,17
1,2,15,low,4,a,1,22
1,2,15,low,4,a,2,8
1,2,15,low,4,b,1,50
1,2,15,low,4,b,2,47
1,2,15,low,4,b,3,53
1,2,16,high,2,a,0,118
1,2,16,high,2,b,1,82
1,2,16,high,3,a,0,57
1,2,16,high,3,a,1,5
1,2,16,high,3,b,1,61
1,2,16,high,3,b,2,77
1,2,16,high,4,a,0,27
1,2,16,high,4,a,1,24
1,2,16,high,4,a,2,13
1,2,16,high,4,b,1,30
1,2,16,high,4,b,2,43
1,2,16,high,4,b,3,63
1,2,16,low,2,a,0,122
1,2,16,low,2,b,1,78
1,2,16,low,3,a,0,55
1,2,16,low,3,a,1,10
1,2,16,low,3,b,1,67
1,2,16,low,3,b,2,68
1,2,16,low,4,a,0,15
1,2,16,low,4,a,1,15
1,2,16,low,4,a,2,8
1,2,16,low,4,b,1,40
1,2,16,low,4,b,2,61
1,2,16,low,4,b,3,60
2,1,1,high,2,a,0,114
2,1,1,high,2,b,1,86
2,1,1,high,3,a,0,45
2,1,1,high,3,a,1,13
2,1,1,high,3,b,1,69
2,1,1,high,3,b,2,73
2,1,1,high,4,a,0,16
2,1,1,high,4,a,1,11
2,1,1,high,4,a,2,2
